127.0.0.1 - - [28/Aug/2023:18:46:48 -0800] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [28/Aug/2023:18:46:49 -0800] "GET /DynamicWebProject/ HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [28/Aug/2023:18:46:49 -0800] "GET /DynamicWebProject/assets/css/style.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [28/Aug/2023:18:46:49 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:18:46:49 -0800] "GET /logo.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [28/Aug/2023:18:46:49 -0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Aug/2023:18:51:10 -0800] "GET /DynamicWebProject/ HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [28/Aug/2023:18:51:10 -0800] "GET /DynamicWebProject/assets/css/style.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [28/Aug/2023:18:51:10 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:18:51:10 -0800] "GET /logo.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:00:25 -0800] "GET /DynamicWebProject/ HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:00:25 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:00:25 -0800] "GET /DynamicWebProject/assets/css/style.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:00:25 -0800] "GET /logo.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:00:26 -0800] "GET /DynamicWebProject/ HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:00:26 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:00:26 -0800] "GET /DynamicWebProject/assets/css/style.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:00:26 -0800] "GET /logo.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:01:34 -0800] "GET /DynamicWebProject/ HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:01:34 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:01:34 -0800] "GET /DynamicWebProject/assets/css/stylesheet.css HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:01:34 -0800] "GET /logo.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:03:33 -0800] "GET /DynamicWebProject/ HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:03:33 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:03:33 -0800] "GET /DynamicWebProject/assets/css/stylesheet.css HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:03:33 -0800] "GET /logo.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:04:40 -0800] "GET /DynamicWebProject/ HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:04:40 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:04:40 -0800] "GET /DynamicWebProject/assets/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:04:40 -0800] "GET /logo.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:04:47 -0800] "GET /DynamicWebProject/ HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:04:47 -0800] "GET /DynamicWebProject/assets/css/stylesheet.css HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:04:47 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:04:47 -0800] "GET /logo.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:05:35 -0800] "GET /DynamicWebProject/ HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:05:35 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:05:35 -0800] "GET /DynamicWebProject/assets/css/stylesheet.css HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:05:35 -0800] "GET /logo.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:07:32 -0800] "GET /DynamicWebProject/ HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:07:32 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:07:32 -0800] "GET /DynamicWebProject/assets/css/stylesheet.css HTTP/1.1" 200 2923
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:07:32 -0800] "GET /logo.png HTTP/1.1" 404 760
